2026-07-07 10:18:20 | INFO     | sciparser | Session for user 9638739e-d981-4870-91ca-8f24f4c8157c fully cleaned up.
2026-07-07 10:19:27 | INFO     | sciparser | Creating/verifying database tables...
2026-07-07 10:19:27 | INFO     | sciparser | Database tables checked/created successfully.
2026-07-07 10:19:27 | INFO     | sciparser | Initializing multi-agent orchestrator system...
2026-07-07 10:19:32 | INFO     | sciparser | Multi-agent orchestrator initialization complete.
2026-07-07 10:19:32 | INFO     | sciparser | APScheduler: registered 0 active schedule(s).
2026-07-07 10:20:32 | INFO     | crewai_core.settings | Using config path: C:\Users\DhayalanPanneerselva\.config\crewai\settings.json
2026-07-07 10:20:37 | INFO     | httpx | HTTP Request: POST https://app.crewai.com/crewai_plus/api/v1/tracing/ephemeral/batches "HTTP/1.1 201 Created"
2026-07-07 10:20:39 | INFO     | httpx | HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-07 10:20:41 | INFO     | root | OpenAI API usage: {'prompt_tokens': 996, 'completion_tokens': 328, 'total_tokens': 1324, 'cached_prompt_tokens': 0, 'reasoning_tokens': 290}
2026-07-07 10:20:41 | INFO     | sciparser | [Memory] Injecting 811 chars for domain 'general'
2026-07-07 10:20:41 | INFO     | sciparser | Preparing MCP manager for user 9638739e-d981-4870-91ca-8f24f4c8157c on port 58127...
2026-07-07 10:20:41 | INFO     | src.agents.mcp_agent | >>> Starting MCP Server connecting to http://localhost:58127...
2026-07-07 10:20:45 | INFO     | httpx | HTTP Request: POST https://app.crewai.com/crewai_plus/api/v1/tracing/ephemeral/batches/031340d4-055c-45de-a886-fd208a6a5a85/events "HTTP/1.1 200 OK"
2026-07-07 10:20:48 | INFO     | httpx | HTTP Request: PATCH https://app.crewai.com/crewai_plus/api/v1/tracing/ephemeral/batches/031340d4-055c-45de-a886-fd208a6a5a85/finalize "HTTP/1.1 200 OK"
2026-07-07 10:20:48 | INFO     | crewai_core.settings | Using config path: C:\Users\DhayalanPanneerselva\.config\crewai\settings.json
2026-07-07 10:21:09 | INFO     | src.agents.mcp_agent | >>> MCP Session Ready. 16 tools active.
2026-07-07 10:21:09 | INFO     | sciparser | Discovered 16 tools for execution.
2026-07-07 10:21:10 | INFO     | sciparser | Starting raw-CDP screenshot stream: user=9638739e-d981-4870-91ca-8f24f4c8157c chat=thread-4ac0c6bd-0cf1-4242-96d6-70aa8746fab7 port=58127
2026-07-07 10:21:10 | INFO     | sciparser | Executing via MCP Tool Graph (Attempt 1)...
2026-07-07 10:21:12 | INFO     | httpx | HTTP Request: POST https://app.crewai.com/crewai_plus/api/v1/tracing/ephemeral/batches "HTTP/1.1 201 Created"
2026-07-07 10:21:13 | INFO     | httpx | HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-07 10:21:42 | INFO     | sciparser | Last WS for thread-4ac0c6bd-0cf1-4242-96d6-70aa8746fab7 closed — auto-cancelling agent task.
2026-07-07 10:21:42 | INFO     | sciparser | Cancellation signal sent to task for chat_id thread-4ac0c6bd-0cf1-4242-96d6-70aa8746fab7
2026-07-07 10:21:42 | INFO     | src.agents.mcp_agent | >>> Closing MCP Session for http://localhost:58127...
2026-07-07 10:21:42 | INFO     | sciparser | Task for chat_id thread-4ac0c6bd-0cf1-4242-96d6-70aa8746fab7 unwound via CancelledError (stop message already in DB)
2026-07-07 10:21:42 | INFO     | src.agents.mcp_agent | >>> Closing MCP Session for http://localhost:58127...
2026-07-07 10:21:42 | INFO     | sciparser | [User 9638739e-d981-4870-91ca-8f24f4c8157c] Browser process closed.
2026-07-07 10:21:42 | INFO     | sciparser | Session for user 9638739e-d981-4870-91ca-8f24f4c8157c fully cleaned up.
2026-07-07 10:21:43 | INFO     | sciparser | [User 9638739e-d981-4870-91ca-8f24f4c8157c] Browser process closed.
2026-07-07 10:21:43 | INFO     | sciparser | Browser closed for user 9638739e-d981-4870-91ca-8f24f4c8157c via stop_process.
2026-07-07 10:24:47 | INFO     | sciparser | Creating/verifying database tables...
2026-07-07 10:24:47 | INFO     | sciparser | Database tables checked/created successfully.
2026-07-07 10:24:47 | INFO     | sciparser | Initializing multi-agent orchestrator system...
2026-07-07 10:24:52 | INFO     | sciparser | Multi-agent orchestrator initialization complete.
2026-07-07 10:24:52 | INFO     | sciparser | APScheduler: registered 0 active schedule(s).
2026-07-07 10:29:11 | INFO     | sciparser | Creating/verifying database tables...
2026-07-07 10:29:12 | INFO     | sciparser | Database tables checked/created successfully.
2026-07-07 10:29:12 | INFO     | sciparser | Initializing multi-agent orchestrator system...
2026-07-07 10:29:15 | INFO     | sciparser | Multi-agent orchestrator initialization complete.
2026-07-07 10:29:15 | INFO     | sciparser | APScheduler: registered 0 active schedule(s).
2026-07-07 10:30:44 | INFO     | crewai_core.settings | Using config path: C:\Users\DhayalanPanneerselva\.config\crewai\settings.json
2026-07-07 10:30:49 | INFO     | httpx | HTTP Request: POST https://app.crewai.com/crewai_plus/api/v1/tracing/ephemeral/batches "HTTP/1.1 201 Created"
2026-07-07 10:30:50 | INFO     | sciparser | Cancellation signal sent to task for chat_id thread-4ac0c6bd-0cf1-4242-96d6-70aa8746fab7
2026-07-07 10:30:50 | INFO     | sciparser | Browser closed for user 9638739e-d981-4870-91ca-8f24f4c8157c via stop_process.
2026-07-07 10:30:50 | INFO     | sciparser | Stop message persisted to DB for chat_id thread-4ac0c6bd-0cf1-4242-96d6-70aa8746fab7
2026-07-07 10:30:50 | INFO     | httpx | HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-07 10:30:50 | INFO     | sciparser | [Memory] Stored FAIL episode for domain 'general'
2026-07-07 10:30:50 | INFO     | sciparser | Task for chat_id thread-4ac0c6bd-0cf1-4242-96d6-70aa8746fab7 unwound via CancelledError (stop message already in DB)
2026-07-07 10:30:51 | INFO     | root | OpenAI API usage: {'prompt_tokens': 996, 'completion_tokens': 233, 'total_tokens': 1229, 'cached_prompt_tokens': 0, 'reasoning_tokens': 196}
2026-07-07 10:30:54 | INFO     | httpx | HTTP Request: POST https://app.crewai.com/crewai_plus/api/v1/tracing/ephemeral/batches/6ab64226-1a80-4417-8c82-aeaa752d1468/events "HTTP/1.1 200 OK"
2026-07-07 10:30:56 | INFO     | httpx | HTTP Request: PATCH https://app.crewai.com/crewai_plus/api/v1/tracing/ephemeral/batches/6ab64226-1a80-4417-8c82-aeaa752d1468/finalize "HTTP/1.1 200 OK"
2026-07-07 10:30:56 | INFO     | crewai_core.settings | Using config path: C:\Users\DhayalanPanneerselva\.config\crewai\settings.json
2026-07-07 10:32:08 | INFO     | sciparser | Session for user 9638739e-d981-4870-91ca-8f24f4c8157c fully cleaned up.
2026-07-07 10:34:51 | INFO     | sciparser | Creating/verifying database tables...
2026-07-07 10:34:52 | INFO     | sciparser | Database tables checked/created successfully.
2026-07-07 10:34:52 | INFO     | sciparser | Initializing multi-agent orchestrator system...
2026-07-07 10:34:55 | INFO     | sciparser | Multi-agent orchestrator initialization complete.
